CountryName,CapitalName,A,B,longitude,latitude,ContinentName,
Somaliland,Hargeisa,,,44.05,9.55,Africa,
South Georgia and South Sandwich Islands,King Edward Point,,,-36.5,-54.283333,Antarctica,
French Southern and Antarctic Lands,Port-aux-Français,,,70.216667,-49.35,Antarctica,
Palestine,Jerusalem,,,35.233333,31.7666666666667,Asia,
Aland Islands,Mariehamn,,,19.9,60.116667,Europe,
Nauru,Yaren,,,166.920867,-0.5477,Australia,
Saint Martin,Marigot,,,-63.0822,18.0731,North America,
Tokelau,Atafu,,,-171.833333,-9.166667,Australia,
Western Sahara,El-Aaiún,,,-13.203333,27.153611,Africa,
Afghanistan,Kabul,,,69.183333,34.5166666666667,Asia,
Albania,Tirana,,,19.816667,41.3166666666667,Europe,
Algeria,Algiers,,,3.05,36.75,Africa,
American Samoa,Pago Pago,,,-170.7,-14.2666666666667,Australia,
Andorra,Andorra la Vella,,,1.516667,42.5,Europe,
Angola,Luanda,,,13.216667,-8.83333333333333,Africa,
Anguilla,The Valley,,,-63.05,18.2166666666667,North America,
Antigua and Barbuda,Saint John's,,,-61.85,17.1166666666667,North America,
Argentina,Buenos Aires,,,-58.666667,-34.5833333333333,South America,
Armenia,Yerevan,,,44.5,40.1666666666667,Europe,
Aruba,Oranjestad,,,-70.033333,12.5166666666667,North America,
Australia,Canberra,,,149.133333,-35.2666666666667,Australia,
Austria,Vienna,,,16.366667,48.2,Europe,
Azerbaijan,Baku,,,49.866667,40.3833333333333,Europe,
Bahamas,Nassau,,,-77.35,25.0833333333333,North America,
Bahrain,Manama,,,50.566667,26.2333333333333,Asia,
Bangladesh,Dhaka,,,90.4,23.7166666666667,Asia,
Barbados,Bridgetown,,,-59.616667,13.1,North America,
Belarus,Minsk,,,27.566667,53.9,Europe,
Belgium,Brussels,,,4.333333,50.8333333333333,Europe,
Belize,Belmopan,,,-88.766667,17.25,Central America,
Benin,Porto-Novo,,,2.616667,6.48333333333333,Africa,
Bermuda,Hamilton,,,-64.783333,32.2833333333333,North America,
Bhutan,Thimphu,,,89.633333,27.4666666666667,Asia,
Bolivia,La Paz,,,-68.15,-16.5,South America,
Bosnia and Herzegovina,Sarajevo,,,18.416667,43.8666666666667,Europe,
Botswana,Gaborone,,,25.9,-24.6333333333333,Africa,
Brazil,Brasilia,,,-47.916667,-15.7833333333333,South America,
British Virgin Islands,Road Town,,,-64.616667,18.4166666666667,North America,
Brunei Darussalam,Bandar Seri Begawan,,,114.933333,4.88333333333333,Asia,
Bulgaria,Sofia,,,23.316667,42.6833333333333,Europe,
Burkina Faso,Ouagadougou,,,-1.516667,12.3666666666667,Africa,
Myanmar,Rangoon,,,96.15,16.8,Asia,
Burundi,Bujumbura,,,29.35,-3.36666666666667,Africa,
Cambodia,Phnom Penh,,,104.916667,11.55,Asia,
Cameroon,Yaounde,,,11.516667,3.86666666666667,Africa,
Canada,Ottawa,,,-75.7,45.4166666666667,Central America,
Cape Verde,Praia,,,-23.516667,14.9166666666667,Africa,
Cayman Islands,George Town,,,-81.383333,19.3,North America,
Central African Republic,Bangui,,,18.583333,4.36666666666667,Africa,
Chad,N'Djamena,,,15.033333,12.1,Africa,
Chile,Santiago,,,-70.666667,-33.45,South America,
China,Beijing,,,116.383333,39.9166666666667,Asia,
Christmas Island,The Settlement,,,105.716667,-10.4166666666667,Australia,
Cocos Islands,West Island,,,96.833333,-12.1666666666667,Australia,
Colombia,Bogota,,,-74.083333,4.6,South America,
Comoros,Moroni,,,43.233333,-11.7,Africa,
Democratic Republic of the Congo,Kinshasa,,,15.3,-4.31666666666667,Africa,
Republic of Congo,Brazzaville,,,15.283333,-4.25,Africa,
Cook Islands,Avarua,,,-159.766667,-21.2,Australia,
Costa Rica,San Jose,,,-84.083333,9.93333333333333,Central America,
Cote d'Ivoire,Yamoussoukro,,,-5.266667,6.81666666666667,Africa,
Croatia,Zagreb,,,16,45.8,Europe,
Cuba,Havana,,,-82.35,23.1166666666667,North America,
Curaçao,Willemstad,,,-68.916667,12.1,North America,
Cyprus,Nicosia,,,33.366667,35.1666666666667,Europe,
Czech Republic,Prague,,,14.466667,50.0833333333333,Europe,
Denmark,Copenhagen,,,12.583333,55.6666666666667,Europe,
Djibouti,Djibouti,,,43.15,11.5833333333333,Africa,
Dominica,Roseau,,,-61.4,15.3,North America,
Dominican Republic,Santo Domingo,,,-69.9,18.4666666666667,North America,
Ecuador,Quito,,,-78.5,-0.216666666666667,South America,
Egypt,Cairo,,,31.25,30.05,Africa,
El Salvador,San Salvador,,,-89.2,13.7,Central America,
Equatorial Guinea,Malabo,,,8.783333,3.75,Africa,
Eritrea,Asmara,,,38.933333,15.3333333333333,Africa,
Estonia,Tallinn,,,24.716667,59.4333333333333,Europe,
Ethiopia,Addis Ababa,,,38.7,9.03333333333333,Africa,
Falkland Islands,Stanley,,,-57.85,-51.7,South America,
Faroe Islands,Torshavn,,,-6.766667,62,Europe,
Fiji,Suva,,,178.416667,-18.1333333333333,Australia,
Finland,Helsinki,,,24.933333,60.1666666666667,Europe,
France,Paris,,,2.333333,48.8666666666667,Europe,
French Polynesia,Papeete,,,-149.566667,-17.5333333333333,Australia,
Gabon,Libreville,,,9.45,0.383333333333333,Africa,
The Gambia,Banjul,,,-16.566667,13.45,Africa,
Georgia,Tbilisi,,,44.833333,41.6833333333333,Europe,
Germany,Berlin,,,13.4,52.5166666666667,Europe,
Ghana,Accra,,,-0.216667,5.55,Africa,
Gibraltar,Gibraltar,,,-5.35,36.1333333333333,Europe,
Greece,Athens,,,23.733333,37.9833333333333,Europe,
Greenland,Nuuk,,,-51.75,64.1833333333333,Central America,
Grenada,Saint George's,,,-61.75,12.05,North America,
Guam,Hagatna,,,144.733333,13.4666666666667,Australia,
Guatemala,Guatemala City,,,-90.516667,14.6166666666667,Central America,
Guernsey,Saint Peter Port,,,-2.533333,49.45,Europe,
Guinea,Conakry,,,-13.7,9.5,Africa,
Guinea-Bissau,Bissau,,,-15.583333,11.85,Africa,
Guyana,Georgetown,,,-58.15,6.8,South America,
Haiti,Port-au-Prince,,,-72.333333,18.5333333333333,North America,
Vatican City,Vatican City,,,12.45,41.9,Europe,
Honduras,Tegucigalpa,,,-87.216667,14.1,Central America,
Hungary,Budapest,,,19.083333,47.5,Europe,
Iceland,Reykjavik,,,-21.95,64.15,Europe,
India,New Delhi,,,77.2,28.6,Asia,
Indonesia,Jakarta,,,106.816667,-6.16666666666667,Asia,
Iran,Tehran,,,51.416667,35.7,Asia,
Iraq,Baghdad,,,44.4,33.3333333333333,Asia,
Ireland,Dublin,,,-6.233333,53.3166666666667,Europe,
Isle of Man,Douglas,,,-4.483333,54.15,Europe,
